Data;EMPRESTIMO;SALARY;VACATION;ADVANCE_SALARY;RESCISSION;DEPOSIT;BASIC_FOOD_BASKET;BONUS;COMMISSION;DAILY;FOOD_VOUCHER;FUEL_ASSISTANCE;MEAL_VOURCHER;PIS_PAYMENT;PROFIT_SHARING_PAYMENT;PRO_LABORE_PAYMENT;REWARD;SALARY_DIFFERENCE;THIRTEENTH_SALARY;THIRTEENTH_SALARY_FIRST_INSTALLMENT;THIRTEENTH_SALARY_SECOND_INSTALLMENT;TIP;TRANSPORTATION_VOUCHER;TOTAL_DIA
06/05/2024;955440,98;12298844,67;340611,56;69650;424372,75;693054,26;3220;0;1720;21028,21;33205,1;17969,09;1077,84;0;0;38609,17;91828,64;0;0;0;0;0;36711,92;14071903,21
07/05/2024;2360692,17;555328,02;22325,9;0;4068,17;111769,09;0;0;4535,55;0;2776,81;100;0;0;0;0;49320,73;0;0;0;0;0;0;750224,27
08/05/2024;1930607,89;97327,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6509;0;0;0;0;0;0;103836,8
09/05/2024;928714,22;26032070,49;73541,63;2634,18;115343,87;149004,69;3773,33;0;6661,05;21219,5;50309,56;3358;5170,04;0;0;0;54570,97;0;0;3440,56;0;0;18594,5;26539692,37
10/05/2024;818965,94;13185569,59;382344,78;20486,97;289107,56;178083,23;92389,57;0;6830,61;43128,91;35523,61;2056,4;287,5;0;0;514487,79;28895,7;0;0;0;0;0;14088,43;14793280,65
11/05/2024;450001,94;5546096,35;53682,23;0;361577,77;81428,58;7700;0;12449,33;12709,97;90301,81;1216,71;253;0;0;0;4730,3;0;0;3443,02;0;0;11236,59;6186825,66
12/05/2024;244806,96;485458,44;495503,22;293262;248507,56;54070,22;464;0;220281,7;34859,13;26288,8;350;123,48;0;0;183523,44;0;0;1686,13;13162,61;0;0;17341,96;2074882,69
13/05/2024;362612,82;1953477,25;389548,15;21208,58;548947,03;374431,74;0;0;180946,68;19999,91;4173,2;6511,66;587,8;0;0;0;52064;0;0;0;0;0;9199,76;3561095,76
14/05/2024;278983,45;0;0;250;0;6312;0;0;7658,2;300;0;0;0;0;0;0;6646,93;0;0;0;0;0;360;21527,13
15/05/2024;421812,14;0;0;476,27;0;0;0;0;0;0;0;0;0;0;0;4158,61;2192;0;0;0;0;0;0;6826,88
16/05/2024;272997,84;145164,45;181832,72;728383,34;341666,52;371655,69;100;0;3399,38;65492,72;27096,63;1045,48;611;0;0;0;54003,02;0;0;3873,67;0;0;93784,2;2018108,82
17/05/2024;230367,92;301312,36;84829,69;1591138,79;158333,04;82869,73;3400;0;0;26128,61;4348,84;200;0;0;0;108926,6;19309,78;0;0;0;0;0;10813,7;2391611,14
18/05/2024;230976,21;1838057,24;291536,99;1035970,7;306396,44;51738,23;2312,5;0;153845,41;13995,56;146837,92;7512;0;706;0;0;39983,96;0;0;1092,56;0;0;90468,66;3980454,17
19/05/2024;134997,27;575050,95;38356,38;879127,73;232559,88;172698,02;500;0;0;48110,3;8686,05;6546,9;137,72;0;0;0;3241,66;0;0;0;0;0;9739,65;1974755,24
20/05/2024;256869,65;196188,66;105647,33;1211254,53;333885,51;187778,08;0;0;24805,47;4431,58;1535,67;7477;300;0;0;3000;17174,88;0;0;0;0;0;8234,11;2101712,82
21/05/2024;177189,78;37398,47;1741,48;415788,36;31967,99;4855,13;0;0;5653,48;0;0;0;0;0;0;0;736,46;0;0;0;0;0;221,83;498363,2
22/05/2024;137734,7;10737,72;1739,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12476,84
23/05/2024;142996,41;652277,78;78750,99;1001102,15;198347,22;314020,84;0;0;378354,68;23779,77;26057,01;519,33;345;0;0;0;51510,48;0;0;2182,04;0;0;19155,89;2746403,18
24/05/2024;166535,16;370069,01;770216,01;144279,76;164541,98;14145,15;0;0;14554,34;8081,35;6547,94;488,96;375;0;0;2000;2956,81;0;4196,37;2759,84;0;0;16044,56;1521257,08
25/05/2024;166827,53;357526,9;83823,4;2063,85;216340,7;60936,97;0;0;7917,86;7944,32;4564,04;600;0;0;0;0;2700;0;1459,19;0;768,47;0;13973,8;760619,5
26/05/2024;103017,42;201472,47;59699,28;29611,66;358740,16;133710,5;0;0;3250;33791,22;1603,02;2260;12730,28;0;0;16731,44;4165;0;0;106523,19;0;0;7025,84;971314,06
27/05/2024;131229,43;87499,93;188850,02;3525,78;337244,39;93013,96;0;0;1045,27;17215,05;991,08;7200;18737,52;0;0;0;13596,2;0;0;0;0;0;19529,56;788448,76
28/05/2024;128100,78;0;0;100;48322,6;0;0;0;6294,84;624;669,9;0;0;0;0;0;0;0;0;0;0;0;660;56671,34
29/05/2024;344973,11;0;3970,13;0;0;0;0;0;0;0;0;0;0;0;0;0;5601;0;0;0;0;0;0;9571,13
30/05/2024;238965,3;585953,86;919213,2;59806,64;432549,7;150355,69;0;0;0;18293,33;4743,92;1050;4543,73;0;0;0;17390,17;0;0;2329,21;0;100,12;289103,98;2485433,55
31/05/2024;824353,34;1075909,8;462276,65;0;390628,15;121285,06;0;0;0;31168;2902,11;1013,82;138,42;0;0;0;3537,58;0;5060;12154,02;0;0;42358,21;2148431,82
01/06/2024;407238,72;6667021,61;942169,2;1250;870203,97;90148,87;0;0;7297;21334,03;30654,18;25627,2;5642;0;0;470305,27;1660;0;0;12302,77;0;0;68482,78;9214098,88
02/06/2024;160913,42;1137108,88;245046,4;0;22580,43;21243,16;0;0;0;358,84;0;183,4;741;0;0;0;0;0;0;0;0;0;30352;1457614,11
